timestamp,DT100,DT200,BTL_RED,BTL_YELLOW,BTL_GREEN,BSL_RED,BSL_YELLOW,BSL_GREEN,BLOCK1,BLOCK2,BLOCK3
15:06.1,THROWN,THROWN,0,0,1,0,0,1,null,T1,T2
15:07.1,THROWN,THROWN,0,0,1,0,0,1,null,T1,T2
15:08.1,THROWN,THROWN,0,0,1,0,0,1,null,T1,T2
15:09.1,THROWN,THROWN,0,1,0,0,0,1,null,T1,T2
15:10.1,THROWN,CLOSED,1,0,0,0,0,1,T1,null,T2
15:11.1,THROWN,CLOSED,1,0,0,0,0,1,T1,null,T2
15:12.1,THROWN,CLOSED,1,0,0,0,0,1,T1,null,T2
15:13.1,THROWN,CLOSED,1,0,0,0,0,1,T1,null,T2
15:14.1,THROWN,CLOSED,1,0,0,0,1,0,T1,null,T2
15:15.1,CLOSED,CLOSED,0,0,1,1,0,0,T1,null,T2
15:16.1,CLOSED,CLOSED,0,0,1,1,0,0,T1,null,T2
15:17.1,CLOSED,CLOSED,0,0,1,1,0,0,T1,null,T2
15:18.1,CLOSED,THROWN,0,0,1,0,0,1,null,T1,T2
15:19.1,CLOSED,THROWN,0,0,1,0,0,1,null,T1,T2
15:20.1,CLOSED,THROWN,0,0,1,0,1,0,null,T1,T2
15:21.1,CLOSED,THROWN,0,0,1,1,0,0,null,T1,T2
15:22.1,CLOSED,THROWN,0,0,1,1,0,0,null,T1,T2
15:23.1,CLOSED,THROWN,0,0,1,1,0,0,null,T1,T2
15:24.1,CLOSED,THROWN,0,0,1,1,0,0,null,T1,T2
15:25.1,CLOSED,THROWN,0,0,1,1,0,0,null,T1,T2
15:26.1,THROWN,THROWN,0,0,1,0,0,1,null,T1,T2
15:27.1,THROWN,THROWN,0,0,1,0,0,1,null,T1,T2
15:28.1,THROWN,THROWN,0,1,0,0,0,1,null,T1,T2
15:29.1,THROWN,THROWN,1,0,0,0,0,1,null,T1,T2
15:30.1,THROWN,THROWN,1,0,0,0,0,1,null,T1,T2
15:31.1,CLOSED,THROWN,0,0,0,0,0,1,null,T1,T2
15:32.1,CLOSED,THROWN,0,0,0,0,1,0,null,T1,T2
15:33.1,CLOSED,THROWN,0,0,0,1,0,0,null,T1,T2
15:34.1,CLOSED,THROWN,0,0,0,1,0,0,null,T1,T2
15:35.1,CLOSED,THROWN,0,0,0,1,0,0,T1,null,T2
15:36.1,CLOSED,CLOSED,0,0,0,1,0,0,T1,null,T2
15:37.1,CLOSED,CLOSED,0,0,0,1,0,0,T1,null,T2
15:38.1,CLOSED,CLOSED,0,0,0,1,0,0,T1,null,T2
15:39.1,CLOSED,CLOSED,0,0,0,1,0,0,T1,null,T2
15:40.1,CLOSED,CLOSED,0,0,0,1,0,0,T1,null,T2
15:41.1,CLOSED,CLOSED,0,0,0,1,0,0,T1,null,T2
15:42.1,CLOSED,CLOSED,0,0,0,1,0,0,T1,null,T2
15:43.1,CLOSED,THROWN,0,0,0,0,0,1,null,T1,T2
15:44.1,CLOSED,THROWN,0,0,0,0,0,1,null,T1,T2
15:45.1,CLOSED,THROWN,0,1,0,0,0,0,null,T1,T2
15:46.1,THROWN,THROWN,0,0,1,0,0,0,null,T1,T2
15:47.1,THROWN,THROWN,0,0,1,0,0,0,null,T1,T2
15:48.1,THROWN,THROWN,0,1,0,0,0,0,null,T1,T2
15:49.1,THROWN,THROWN,1,0,0,0,0,0,null,T1,T2
15:50.1,THROWN,THROWN,1,0,0,0,0,0,null,T1,T2
15:51.1,THROWN,CLOSED,1,0,0,0,0,0,T1,null,T2
15:52.1,THROWN,CLOSED,1,0,0,0,0,0,T1,null,T2
15:53.1,THROWN,CLOSED,1,0,0,0,0,0,T1,null,T2
15:54.1,THROWN,CLOSED,1,0,0,0,0,0,T1,null,T2
15:55.1,CLOSED,CLOSED,0,0,0,1,0,0,T1,null,T2

