s,d2xds2,d2yds2,d2zds2
0.000000000000000000e+00,1.616354109380742538e-16,0.000000000000000000e+00,0.000000000000000000e+00
1.373737373737373701e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.747474747474747403e+00,-1.110223024625156540e-16,0.000000000000000000e+00,0.000000000000000000e+00
4.121212121212121104e+00,1.665334536937734811e-16,0.000000000000000000e+00,0.000000000000000000e+00
5.494949494949494806e+00,2.220446049250313081e-16,0.000000000000000000e+00,0.000000000000000000e+00
6.868686868686868507e+00,-3.330669073875469621e-16,0.000000000000000000e+00,0.000000000000000000e+00
8.242424242424242209e+00,-3.330669073875469621e-16,0.000000000000000000e+00,0.000000000000000000e+00
9.616161616161615910e+00,1.665334536937734811e-16,0.000000000000000000e+00,0.000000000000000000e+00
1.098989898989898961e+01,4.996003610813204432e-16,0.000000000000000000e+00,0.000000000000000000e+00
1.236363636363636331e+01,3.330669073875469621e-16,0.000000000000000000e+00,0.000000000000000000e+00
1.373737373737373701e+01,-3.330669073875469621e-16,0.000000000000000000e+00,0.000000000000000000e+00
1.511111111111111072e+01,-3.330669073875469621e-16,0.000000000000000000e+00,0.000000000000000000e+00
1.648484848484848442e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.785858585858585812e+01,-3.330669073875469621e-16,0.000000000000000000e+00,0.000000000000000000e+00
1.923232323232323182e+01,-3.330669073875469621e-16,0.000000000000000000e+00,0.000000000000000000e+00
2.060606060606060552e+01,3.330669073875469621e-16,0.000000000000000000e+00,0.000000000000000000e+00
2.197979797979797922e+01,3.330669073875469621e-16,0.000000000000000000e+00,0.000000000000000000e+00
2.335353535353535293e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.472727272727272663e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.610101010101010033e+01,6.661338147750939243e-16,0.000000000000000000e+00,0.000000000000000000e+00
2.747474747474747403e+01,6.661338147750939243e-16,0.000000000000000000e+00,0.000000000000000000e+00
2.884848484848484773e+01,-6.661338147750939243e-16,0.000000000000000000e+00,0.000000000000000000e+00
3.022222222222222143e+01,-1.332267629550187849e-15,0.000000000000000000e+00,0.000000000000000000e+00
